state,pollster,pop,vtype,method,begmm,begdd,begyy,endmm,enddd,endyy,trump,clinton,other,undecided,Begdate,Enddate,Middate
27,NE,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,52.0,35.0,10.0,3.0,,,
28,NV,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,43.0,45.0,9.0,3.0,,,
29,NH,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,38.0,47.0,12.0,3.0,,,
30,NJ,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,37.0,52.0,8.0,3.0,,,
31,NM,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,38.0,40.0,20.0,2.0,,,
32,NY,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,32.0,57.0,9.0,2.0,,,
33,NC,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,41.0,48.0,8.0,3.0,,,
34,ND,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,57.0,29.0,12.0,2.0,,,
35,OH,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,45.0,42.0,10.0,3.0,,,
36,OK,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,57.0,32.0,9.0,2.0,,,
37,OR,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,35.0,50.0,13.0,2.0,,,
38,PA,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,43.0,46.0,8.0,3.0,,,
39,RI,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,36.0,48.0,13.0,3.0,,,
40,SC,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,47.0,43.0,7.0,3.0,,,
41,SD,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,53.0,32.0,11.0,4.0,,,
42,TN,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,49.0,41.0,8.0,2.0,,,
43,TX,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,46.0,43.0,8.0,3.0,,,
44,UT,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,34.0,31.0,33.0,2.0,,,
45,VT,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,25.0,61.0,12.0,2.0,,,
46,VA,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,41.0,49.0,8.0,2.0,,,
47,WA,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,33.0,51.0,13.0,3.0,,,
48,WV,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,56.0,29.0,10.0,5.0,,,
49,WI,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,42.0,44.0,11.0,3.0,,,
50,AL,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,58.0,37.0,0.0,5.0,,,
51,AK,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,53.0,41.0,-1.0,7.0,,,
52,AZ,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,50.0,43.0,,,,,
53,AR,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,57.0,37.0,,,,,
54,CA,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,37.0,58.0,,,,,
55,CO,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,44.0,50.0,,,,,
56,CT,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,40.0,55.0,,,,,
57,DE,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,42.0,54.0,,,,,
58,FL,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,47.0,47.0,,,,,
59,GA,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,50.0,44.0,,,,,
60,HI,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,31.0,65.0,,,,,
61,ID,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,60.0,33.0,0.0,7.0,,,
62,IL,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,40.0,54.0,,,,,
63,IN,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,51.0,43.0,,,,,
64,IA,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,48.0,47.0,,,,,
65,KS,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,54.0,39.0,,,,,
66,KY,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,60.0,36.0,,,,,
67,LA,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,55.0,40.0,,,,,
68,ME,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,41.0,54.0,,,,,
69,MD,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,38.0,56.0,,,,,
70,MA,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,37.0,59.0,,,,,
71,MI,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,45.0,49.0,,,,,
72,MN,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,46.0,50.0,,,,,
73,MS,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,54.0,42.0,,,,,
74,MO,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,49.0,44.0,,,,,
75,MT,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,54.0,41.0,,,,,
76,NE,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,56.0,38.0,,,,,
77,NV,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,46.0,49.0,,,,,
78,NH,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,43.0,49.0,,,,,
79,NJ,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,41.0,55.0,,,,,
80,NM,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,38.0,47.0,,,,,
81,NY,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,38.0,59.0,,,,,
82,NC,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,48.0,47.0,,,,,
83,ND,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,55.0,39.0,,,,,
84,OH,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,48.0,47.0,,,,,
85,OK,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,63.0,34.0,,,,,
86,OR,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,43.0,51.0,,,,,
87,PA,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,47.0,48.0,,,,,
88,RI,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,37.0,59.0,,,,,
89,SC,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,53.0,42.0,,,,,
90,SD,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,55.0,40.0,,,,,
91,TN,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,55.0,39.0,,,,,
92,TX,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,54.0,40.0,,,,,
93,UT,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,43.0,28.0,,,,,
94,VT,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,33.0,62.0,0.0,5.0,,,
95,VA,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,44.0,50.0,,,,,
96,WA,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,39.0,56.0,,,,,
97,DC,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,6.0,92.0,-1.0,3.0,,,
98,WV,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,56.0,34.0,,,,,
99,WI,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,43.0,51.0,,,,,
100,WY,UPI/CVOTER,,Likely Voters,Internet,10,30,2016,11,6,2016,67.0,28.0,0.0,5.0,,,
101,AL,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,54.0,36.0,7.0,3.0,,,
102,AK,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,47.0,31.0,19.0,3.0,,,
103,AZ,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,43.0,45.0,10.0,2.0,,,
104,AR,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,55.0,34.0,9.0,2.0,,,
105,CA,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,30.0,56.0,11.0,3.0,,,
106,CO,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,39.0,43.0,16.0,2.0,,,
107,CT,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,37.0,51.0,10.0,2.0,,,
108,DC,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,7.0,88.0,4.0,1.0,,,
109,DE,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,39.0,49.0,9.0,3.0,,,
110,FL,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,45.0,47.0,6.0,2.0,,,
111,GA,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,45.0,45.0,6.0,4.0,,,
112,HI,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,29.0,52.0,15.0,4.0,,,
113,ID,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,47.0,29.0,22.0,2.0,,,
114,IL,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,35.0,52.0,11.0,2.0,,,
115,IN,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,52.0,35.0,10.0,3.0,,,
116,IA,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,47.0,37.0,,,,,
117,KS,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,48.0,36.0,14.0,2.0,,,
118,KY,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,53.0,35.0,10.0,2.0,,,
119,LA,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,52.0,38.0,6.0,4.0,,,
120,ME,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,39.0,47.0,11.0,3.0,,,
121,MD,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,29.0,60.0,9.0,2.0,,,
122,MA,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,29.0,56.0,11.0,4.0,,,
123,MI,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,42.0,44.0,12.0,2.0,,,
124,MN,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,37.0,46.0,13.0,4.0,,,
125,MS,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,50.0,41.0,7.0,2.0,,,
126,MO,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,48.0,40.0,10.0,2.0,,,
127,MT,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,53.0,31.0,13.0,3.0,,,
128,NE,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,52.0,34.0,11.0,3.0,,,
129,NV,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,43.0,44.0,10.0,3.0,,,
130,NH,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,38.0,49.0,10.0,3.0,,,
131,NJ,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,37.0,53.0,7.0,3.0,,,
132,NM,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,36.0,40.0,22.0,2.0,,,
133,NY,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,31.0,58.0,9.0,2.0,,,
134,NC,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,41.0,48.0,,,,,
135,ND,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,57.0,29.0,13.0,1.0,,,
136,OH,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,45.0,42.0,10.0,3.0,,,
137,OK,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,56.0,32.0,10.0,2.0,,,
138,OR,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,35.0,51.0,11.0,3.0,,,
139,PA,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,42.0,47.0,9.0,2.0,,,
140,RI,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,36.0,49.0,12.0,3.0,,,
141,SC,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,46.0,44.0,7.0,3.0,,,
142,SD,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,53.0,31.0,12.0,4.0,,,
143,TN,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,49.0,40.0,9.0,2.0,,,
144,TX,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,47.0,42.0,8.0,3.0,,,
145,UT,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,34.0,31.0,34.0,1.0,,,
146,VT,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,27.0,60.0,11.0,2.0,,,
147,VA,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,39.0,49.0,10.0,2.0,,,
148,WA,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,34.0,51.0,12.0,3.0,,,
149,WV,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,57.0,27.0,10.0,6.0,,,
150,WI,SurveyMonkey,,Likely Voters,Internet,10,30,2016,11,6,2016,43.0,44.0,10.0,3.0,,,
151,AL,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,54.0,36.0,7.0,3.0,,,
152,AK,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,46.0,33.0,18.0,3.0,,,
153,AZ,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,43.0,44.0,11.0,2.0,,,
154,AR,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,55.0,34.0,9.0,2.0,,,
155,CA,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,30.0,56.0,11.0,3.0,,,
156,CO,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,40.0,43.0,15.0,2.0,,,
157,CT,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,37.0,51.0,10.0,2.0,,,
158,DC,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,6.0,87.0,6.0,1.0,,,
159,DE,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,36.0,51.0,10.0,3.0,,,
160,FL,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,45.0,47.0,6.0,2.0,,,
161,GA,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,45.0,45.0,6.0,4.0,,,
162,HI,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,28.0,53.0,16.0,3.0,,,
163,ID,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,47.0,30.0,21.0,2.0,,,
164,IL,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,36.0,53.0,9.0,2.0,,,
165,IN,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,53.0,35.0,9.0,3.0,,,
166,IA,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,47.0,37.0,,,,,
167,KS,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,48.0,36.0,14.0,2.0,,,
168,KY,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,54.0,36.0,9.0,1.0,,,
169,LA,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,52.0,38.0,6.0,4.0,,,
170,ME,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,39.0,47.0,11.0,3.0,,,
171,MD,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,28.0,61.0,9.0,2.0,,,
172,MA,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,29.0,55.0,11.0,5.0,,,
173,MI,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,42.0,44.0,12.0,2.0,,,
174,MN,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,38.0,46.0,12.0,4.0,,,
175,MS,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,50.0,40.0,7.0,3.0,,,
176,MO,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,48.0,41.0,9.0,2.0,,,
177,MT,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,53.0,32.0,12.0,3.0,,,
178,NE,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,52.0,34.0,10.0,4.0,,,
179,NV,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,43.0,42.0,11.0,4.0,,,
180,NH,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,38.0,48.0,11.0,3.0,,,
181,NJ,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,37.0,53.0,7.0,3.0,,,
182,NM,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,36.0,41.0,21.0,2.0,,,
183,NY,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,32.0,58.0,8.0,2.0,,,
184,NC,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,41.0,48.0,8.0,3.0,,,
185,ND,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,57.0,29.0,13.0,1.0,,,
186,OH,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,46.0,42.0,10.0,2.0,,,
187,OK,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,57.0,31.0,10.0,2.0,,,
188,OR,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,35.0,51.0,11.0,3.0,,,
189,PA,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,43.0,46.0,9.0,2.0,,,
190,RI,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,36.0,49.0,12.0,3.0,,,
191,SC,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,46.0,43.0,8.0,3.0,,,
192,SD,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,53.0,30.0,13.0,4.0,,,
193,TN,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,49.0,41.0,8.0,2.0,,,
194,TX,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,47.0,42.0,,,,,
195,UT,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,34.0,30.0,34.0,2.0,,,
196,VT,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,25.0,59.0,14.0,2.0,,,
197,VA,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,39.0,49.0,10.0,2.0,,,
198,WA,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,34.0,52.0,12.0,2.0,,,
199,WV,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,57.0,27.0,11.0,5.0,,,
200,WI,SurveyMonkey,,Likely Voters,Internet,10,29,2016,11,4,2016,43.0,44.0,10.0,3.0,,,
201,AL,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,52.0,36.0,9.0,3.0,,,
202,AK,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,46.0,35.0,16.0,3.0,,,
203,AZ,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,43.0,44.0,11.0,2.0,,,
204,AR,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,55.0,34.0,9.0,2.0,,,
205,CA,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,29.0,56.0,12.0,3.0,,,
206,CO,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,40.0,44.0,14.0,2.0,,,
207,CT,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,38.0,52.0,8.0,2.0,,,
208,DC,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,5.0,85.0,9.0,1.0,,,
209,DE,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,36.0,50.0,11.0,3.0,,,
210,FL,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,45.0,47.0,6.0,2.0,,,
211,GA,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,46.0,44.0,6.0,4.0,,,
212,HI,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,29.0,52.0,15.0,4.0,,,
213,ID,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,49.0,30.0,20.0,1.0,,,
214,IL,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,37.0,52.0,9.0,2.0,,,
215,IN,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,52.0,35.0,10.0,3.0,,,
216,IA,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,47.0,37.0,,,,,
217,KS,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,49.0,36.0,13.0,2.0,,,
218,KY,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,55.0,35.0,8.0,2.0,,,
219,LA,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,52.0,37.0,8.0,3.0,,,
220,ME,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,39.0,48.0,11.0,2.0,,,
221,MD,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,27.0,62.0,10.0,1.0,,,
222,MA,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,29.0,56.0,11.0,4.0,,,
223,MI,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,43.0,44.0,11.0,2.0,,,
224,MN,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,37.0,47.0,12.0,4.0,,,
225,MS,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,49.0,40.0,8.0,3.0,,,
226,MO,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,49.0,39.0,10.0,2.0,,,
227,MT,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,53.0,34.0,11.0,2.0,,,
228,NE,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,51.0,35.0,10.0,4.0,,,
229,NV,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,44.0,43.0,9.0,4.0,,,
230,NH,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,37.0,47.0,13.0,3.0,,,
231,NJ,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,37.0,55.0,6.0,2.0,,,
232,NM,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,36.0,41.0,20.0,3.0,,,
233,NY,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,32.0,57.0,9.0,2.0,,,
234,NC,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,42.0,48.0,7.0,3.0,,,
235,ND,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,56.0,29.0,14.0,1.0,,,
236,OH,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,46.0,41.0,11.0,2.0,,,
237,OK,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,56.0,32.0,10.0,2.0,,,
238,OR,SurveyMonkey,,Likely Voters,Internet,10,28,2016,11,3,2016,36.0,51.0,10.0,3.0,,,
